Time (s)	Position (m)
40.000	1.001
40.010	1.000
40.020	1.000
40.030	1.000
40.040	1.000
40.050	1.001
40.060	0.996
40.070	1.001
40.080	0.999
40.090	0.997
40.100	0.996
40.110	0.999
40.120	1.000
40.130	1.000
40.140	1.000
40.150	1.003
40.160	0.998
40.170	0.997
40.180	0.996
40.190	1.000
40.200	0.997
40.210	1.003
40.220	1.004
40.230	1.001
40.240	0.996
40.250	1.000
40.260	1.001
40.270	0.998
40.280	1.000
40.290	0.999
40.300	1.003
40.310	1.005
40.320	1.001
40.330	1.001
40.340	1.000
40.350	0.999
40.360	1.004
40.370	0.999
40.380	1.002
40.390	1.007
40.400	1.007
40.410	1.003
40.420	1.004
40.430	1.000
40.440	1.000
40.450	0.999
40.460	1.003
40.470	1.002
40.480	1.007
40.490	1.004
40.500	1.004
40.510	1.004
40.520	1.002
40.530	1.006
40.540	1.007
40.550	1.007
40.560	1.004
40.570	1.007
40.580	1.006
40.590	1.007
40.600	1.007
40.610	1.007
40.620	1.007
40.630	1.008
40.640	1.007
40.650	1.007
40.660	1.007
40.670	1.007
40.680	1.007
40.690	1.007
40.700	1.007
40.710	1.007
40.720	1.007
40.730	1.007
40.740	1.007
40.750	1.007
40.760	1.006
40.770	1.006
40.780	1.006
40.790	1.007
40.800	1.002
40.810	1.006
40.820	1.007
40.830	1.003
40.840	1.003
40.850	1.003
40.860	1.003
40.870	1.002
40.880	1.006
40.890	1.007
40.900	1.003
40.910	1.002
40.920	1.007
40.930	1.003
40.940	1.006
40.950	1.006
40.960	1.008
40.970	1.002
40.980	1.007
40.990	1.007
41.000	1.007
41.010	1.007
41.020	1.006
41.030	1.007
41.040	1.007
41.050	1.006
41.060	1.006
41.070	1.010
41.080	1.007
41.090	1.007
41.100	1.007
41.110	1.007
41.120	1.007
41.130	1.008
41.140	1.006
41.150	1.006
41.160	1.010
41.170	1.007
41.180	1.007
41.190	1.007
41.200	1.011
41.210	1.006
41.220	1.010
41.230	1.010
41.240	1.009
41.250	1.010
41.260	1.014
41.270	1.010
41.280	1.009
41.290	1.014
41.300	1.010
41.310	1.011
41.320	1.013
41.330	1.007
41.340	1.004
41.350	1.003
41.360	1.004
41.370	1.002
41.380	1.000
41.390	1.000
41.400	1.000
41.410	1.000
41.420	1.000
41.430	1.000
41.440	1.003
41.450	1.003
41.460	1.007
41.470	1.004
41.480	1.014
41.490	1.017
41.500	1.010
41.510	1.007
41.520	1.004
41.530	1.001
41.540	1.000
41.550	0.997
41.560	0.997
41.570	0.997
41.580	0.993
41.590	0.994
41.600	0.991
41.610	0.983
41.620	0.981
41.630	0.979
41.640	0.974
41.650	0.966
41.660	0.965
41.670	0.963
41.680	0.955
41.690	0.949
41.700	0.949
41.710	0.940
41.720	0.938
41.730	0.934
41.740	0.925
41.750	0.925
41.760	0.915
41.770	0.915
41.780	0.903
41.790	0.903
41.800	0.898
41.810	0.886
41.820	0.889
41.830	0.881
41.840	0.871
41.850	0.868
41.860	0.862
41.870	0.856
41.880	0.850
41.890	0.844
41.900	0.838
41.910	0.832
41.920	0.824
41.930	0.818
41.940	0.814
41.950	0.810
41.960	0.807
41.970	0.805
41.980	0.794
41.990	0.784
42.000	0.773
42.010	0.764
42.020	0.762
42.030	0.752
42.040	0.739
42.050	0.735
42.060	0.732
42.070	0.717
42.080	0.708
42.090	0.709
42.100	0.693
42.110	0.685
42.120	0.680
42.130	0.672
42.140	0.660
42.150	0.655
42.160	0.643
42.170	0.634
42.180	0.629
42.190	0.617
42.200	0.609
42.210	0.599
42.220	0.590
42.230	0.581
42.240	0.572
42.250	0.560
42.260	0.552
42.270	0.544
42.280	0.534
42.290	0.525
42.300	0.515
42.310	0.505
42.320	0.493
42.330	0.482
42.340	0.472
42.350	0.463
42.360	0.452
42.370	0.442
42.380	0.434
42.390	0.422
42.400	0.410
42.410	0.403
42.420	0.393
42.430	0.381
42.440	0.374
42.450	0.366
42.460	0.351
42.470	0.337
42.480	0.338
42.490	0.315
42.500	0.303
42.510	0.295
42.520	0.282
42.530	0.268
42.540	0.257
42.550	0.247
42.560	0.260
42.570	0.221
42.580	0.212
42.590	0.203
42.600	0.188
42.610	0.173
42.620	0.161
42.630	0.151
42.640	0.135
42.650	0.125
42.660	0.122
42.670	0.123
42.680	0.123
42.690	0.122
42.700	0.122
42.710	0.132
42.720	0.123
42.730	0.129
42.740	0.123
42.750	0.138
42.760	0.129
42.770	0.126
42.780	0.125
42.790	0.130
42.800	0.150
42.810	0.126
42.820	0.125
42.830	0.128
42.840	0.125
42.850	0.127
42.860	0.127
42.870	0.127
42.880	0.127
42.890	0.128
42.900	0.130
42.910	0.128
42.920	0.127
42.930	0.127
42.940	0.127
42.950	0.127
42.960	0.127
42.970	0.127
42.980	0.127
42.990	0.127
43.000	0.127
43.010	0.127
43.020	0.127
43.030	0.127
43.040	0.127
43.050	0.127
43.060	0.127
43.070	0.127
43.080	0.127
43.090	0.127
43.100	0.127
43.110	0.127
43.120	0.127
43.130	0.127
43.140	0.127
43.150	0.127
43.160	0.127
43.170	0.127
43.180	0.127
43.190	0.127
43.200	0.127
43.210	0.127
43.220	0.127
43.230	0.127
43.240	0.127
43.250	0.127
43.260	0.125
43.270	0.125
43.280	0.126
43.290	0.126
43.300	0.125
43.310	0.124
43.320	0.124
43.330	0.127
43.340	0.126
43.350	0.124
43.360	0.126
43.370	0.128
43.380	0.127
43.390	0.124
43.400	0.126
43.410	0.123
43.420	0.127
43.430	0.125
43.440	0.146
43.450	0.123
43.460	0.125
43.470	0.145
43.480	0.125
43.490	0.127
43.500	0.125
